bedrijf,longitude,latitude
Dunlop Conveyor Belting,6.09094,53.10714
Yara Vlaardingen BV,4.32565,51.89878
RWZI Eindhoven,5.50582,51.46011
HAK,5.02999,51.79281
Delfluent Services BV,4.26655,52.08857
Veka BV,4.88076,51.80802
Covestro B.V.,6.71143,53.17362
KBM Master Alloys BV (Oss),5.54922,51.78340
Quaker Chemical BV,4.83235,52.23791
RWZI Sleeuwijk,4.92922,51.81543
Scheepswerf L.J. Boer Sliedrecht BV,4.76558,51.81926
Reomas B.V.,6.19577,52.15570
Breko,4.72257,51.82455
Gasunie (Alphen en Riel),4.96801,51.51265
Koster Keunen (Holland) B.V.,5.20555,51.35902
Holonite BV (Tholen),4.22877,51.54413
Exportslachterij Clazing BV,4.60335,51.99769
Technoplating Nijkerk BV,5.48264,52.23225
M&R Claushuis BV,5.50502,52.35741
AHC Benelux B.V.,5.43437,51.43430
Kisuma Chemicals BV,6.89329,53.11372
RWZI Vriezenveen,6.63200,52.40837
